"","x"
"310","GPATCH3"
"311","NUDC"
"312","KDF1"
"313","SLC9A1"
"314","WDTC1"
"315","TMEM222"
"316","SYTL1"
"317","MAP3K6"
"318","WASF2"
"319","AHDC1"
"320","FGR"
"321","IFI6"
"322","AL020997.5"
"323","FAM76A"
"324","STX12"
"325","AL020997.2"
"326","PPP1R8"
"327","THEMIS2"
"328","RPA2"
"329","SMPDL3B"
"330","XKR8"
"331","EYA3"
"332","PTAFR"
"333","DNAJC8"
"334","ATP5IF1"
"335","AL353622.1"
"336","SESN2"
"337","MED18"
"338","PHACTR4"
"339","RCC1"
"340","SNHG3"
"341","TRNAU1AP"
"342","SNHG12"
"343","TAF12"
"344","RAB42"
"345","LINC01715"
"346","AL360012.1"
"347","GMEB1"
"348","YTHDF2"
"349","OPRD1"
"350","AL009181.1"
"351","EPB41"
"352","SRSF4"
"353","MECR"
"354","MATN1"
"355","MATN1.AS1"
"356","LAPTM5"
"357","PUM1"
"358","SNRNP40"
"359","ZCCHC17"
"360","SERINC2"
"361","LINC01226"
"362","PEF1"
"363","ADGRB2"
"364","AL136115.2"
"365","PTP4A2"
"366","AL136115.1"
"367","KHDRBS1"
"368","AL445248.1"
"369","TMEM39B"
"370","KPNA6"
"371","TXLNA"
"372","CCDC28B"
"373","AL049795.1"
"374","IQCC"
"375","TMEM234"
"376","EIF3I"
"377","FAM167B"
"378","LCK"
"379","HDAC1"
"380","MARCKSL1"
"381","FAM229A"
"382","BSDC1"
"383","ZBTB8B"
"384","ZBTB8A"
"385","ZBTB8OS"
"386","RBBP4"
"387","SYNC"
"388","YARS"
"389","S100PBP"
"390","TMEM54"
"391","RNF19B"
"392","AK2"
"393","AZIN2"
"394","TRIM62"
"395","AL662907.3"
"396","ZNF362"
"397","PHC2"
"398","ZSCAN20"
"399","CSMD2"
"400","SMIM12"
"401","DLGAP3"
"402","TMEM35B"
"403","ZMYM6"
"404","ZMYM1"
"405","SFPQ"
"406","ZMYM4"
"407","KIAA0319L"
"408","NCDN"
"409","AC004865.2"
"410","TFAP2E"
"411","PSMB2"
"412","C1orf216"
"413","CLSPN"
"414","AGO4"
"415","AGO1"
"416","AL139286.3"
"417","AGO3"
"418","ADPRHL2"
"419","TRAPPC3"
"420","MAP7D1"
"421","THRAP3"
"422","SH3D21"
"423","EVA1B"
"424","STK40"
"425","LSM10"
"426","OSCP1"
"427","MRPS15"
"428","LINC01137"
"429","ZC3H12A"
"430","MEAF6"
"431","SNIP1"
"432","GNL2"
"433","C1orf109"
"434","CDCA8"
"435","MANEAL"
"436","YRDC"
"437","C1orf122"
"438","MTF1"
"439","AL929472.2"
"440","INPP5B"
"441","SF3A3"
"442","FHL3"
"443","UTP11"
"444","POU3F1"
"445","LINC01685"
"446","RRAGC"
"447","AL139260.1"
"448","MYCBP"
"449","RHBDL2"
"450","AKIRIN1"
"451","NDUFS5"
"452","MACF1"
"453","BMP8A"
"454","PABPC4"
"455","PABPC4.AS1"
"456","PPIE"
"457","BMP8B"
"458","OXCT2"
"459","AL033527.3"
"460","AL033527.4"
"461","TRIT1"
"462","MYCL"
"463","MFSD2A"
"464","CAP1"
"465","PPT1"
"466","RLF"
"467","AL050341.2"
"468","ZMPSTE24"
"469","COL9A2"
"470","SMAP2"
"471","ZFP69B"
"472","AL031985.3"
"473","ZFP69"
"474","AL603839.3"
"475","EXO5"
"476","ZNF684"
"477","NFYC.AS1"
"478","NFYC"
"479","CITED4"
"480","CTPS1"
"481","SLFNL1.AS1"
"482","SCMH1"
"483","HIVEP3"
"484","FOXJ3"
"485","RIMKLA"
"486","ZMYND12"
"487","PPCS"
"488","CCDC30"
"489","PPIH"
"490","AC098484.4"
"491","YBX1"
"492","P3H1"
"493","C1orf50"
"494","TMEM269"
"495","SVBP"
"496","ERMAP"
"497","AL512353.1"
"498","ZNF691"
"499","SLC2A1"
"500","SLC2A1.AS1"
"501","EBNA1BP2"
"502","CFAP57"
"503","TMEM125"
"504","TIE1"
"505","AL139289.2"
"506","CDC20"
"507","ELOVL1"
"508","MED8"
"509","SZT2"
"510","HYI"
"511","PTPRF"
"512","KDM4A"
"513","KDM4A.AS1"
"514","ST3GAL3"
"515","AL357079.1"
"516","IPO13"
"517","AL357079.2"
"518","DPH2"
"519","ATP6V0B"
"520","B4GALT2"
"521","CCDC24"
"522","SLC6A9"
"523","AL139220.2"
"524","DMAP1"
"525","ERI3"
"526","RNF220"
"527","TMEM53"
"528","ARMH1"
"529","KIF2C"
"530","AL592166.1"
"531","RPS8"
"532","BEST4"
"533","PLK3"
"534","BTBD19"
"535","PTCH2"
"536","EIF2B3"
"537","HECTD3"
"538","UROD"
"539","LINC01144"
"540","HPDL"
"541","MUTYH"
"542","TOE1"
"543","TESK2"
"544","CCDC163"
"545","MMACHC"
"546","PRDX1"
"547","AKR1A1"
"548","NASP"
"549","CCDC17"
"550","GPBP1L1"
"551","TMEM69"
"552","IPP"
"553","AL604028.1"
"554","MAST2"
"555","PIK3R3"
"556","TSPAN1"
"557","POMGNT1"
"558","RAD54L"
"559","LRRC41"
"560","UQCRH"
"561","NSUN4"
"562","FAAH"
"563","MKNK1"
"564","MOB3C"
"565","ATPAF1"
"566","EFCAB14"
"567","STIL"
"568","CMPK1"
"569","FOXD2.AS1"
"570","BEND5"
"571","FAF1"
"572","CDKN2C"
"573","LINC01562"
"574","RNF11"
"575","TTC39A"
"576","TTC39A.AS1"
"577","EPS15"
"578","AC104170.1"
"579","OSBPL9"
"580","NRDC"
"581","AL050343.2"
"582","RAB3B"
"583","TXNDC12"
"584","KTI12"
"585","BTF3L4"
"586","ZFYVE9"
"587","CC2D1B"
"588","ORC1"
"589","PRPF38A"
"590","TUT4"
"591","GPX7"
"592","SHISAL2A"
"593","COA7"
"594","ZYG11B"
"595","ZYG11A"
"596","ECHDC2"
"597","SCP2"
"598","CPT2"
"599","CZIB"
"600","AL606760.3"
"601","MAGOH"
"602","AL606760.1"
"603","LRP8"
"604","LINC01771"
"605","LINC02812"
"606","NDC1"
"607","YIPF1"
"608","HSPB11"
"609","LRRC42"
"610","TMEM59"
"611","TCEANC2"
"612","CYB5RL"
"613","MRPL37"
"614","SSBP3"
"615","AC099796.2"
"616","ACOT11"
"617","TTC4"
"618","PARS2"
"619","TTC22"
"620","DHCR24"
"621","AL590440.2"
"622","USP24"
"623","PLPP3"
"624","OMA1"
"625","MYSM1"
"626","JUN"
"627","LINC01135"
"628","LINC02777"
"629","LINC01358"
"630","AC093425.1"
"631","FGGY"
"632","HOOK1"
"633","NFIA"
"634","TM2D1"
"635","AC099791.2"
"636","PATJ"
"637","L1TD1"
"638","USP1"
"639","DOCK7"
"640","ATG4C"
"641","FOXD3.AS1"
"642","ALG6"
"643","ITGB3BP"
"644","EFCAB7"
"645","DLEU2L"
"646","PGM1"
"647","ROR1.AS1"
"648","RAVER2"
"649","JAK1"
"650","AK4"
"651","DNAJC6"
"652","LEPROT"
"653","LEPR"
"654","AC119800.1"
"655","AL513493.1"
"656","PDE4B"
"657","WDR78"
"658","MIER1"
"659","SLC35D1"
"660","IL12RB2"
"661","SERBP1"
"662","GADD45A"
"663","DEPDC1"
"664","LRRC7"
"665","LRRC40"
"666","SRSF11"
"667","ANKRD13C"
"668","HHLA3"
"669","CTH"
"670","ZRANB2.AS1"
"671","ZRANB2"
