"","x"
"4158","AC095055.1"
"4159","GATB"
"4160","AC097375.3"
"4161","AC097375.5"
"4162","LINC02273"
"4163","AC079340.2"
"4164","FBXW7"
"4165","AC023424.3"
"4166","MIR4453HG"
"4167","TMEM154"
"4168","AC106882.1"
"4169","ARFIP1"
"4170","TRIM2"
"4171","MND1"
"4172","TMEM131L"
"4173","PLRG1"
"4174","LRAT"
"4175","MAP9"
"4176","CTSO"
"4177","AC084740.1"
"4178","C4orf46"
"4179","ETFDH"
"4180","PPID"
"4181","FNIP2"
"4182","RAPGEF2"
"4183","NAF1"
"4184","TMA16"
"4185","MARCH1"
"4186","AC093788.1"
"4187","SMIM31"
"4188","TRIM61"
"4189","FAM218A"
"4190","TMEM192"
"4191","KLHL2"
"4192","MSMO1"
"4193","DDX60"
"4194","DDX60L"
"4195","PALLD"
"4196","CBR4"
"4197","SH3RF1"
"4198","NEK1"
"4199","CLCN3"
"4200","HPF1"
"4201","MFAP3L"
"4202","AC105285.1"
"4203","GALNT7"
"4204","HMGB2"
"4205","AC097534.2"
"4206","SAP30"
"4207","SCRG1"
"4208","AC093849.4"
"4209","AC093849.2"
"4210","HAND2.AS1"
"4211","FBXO8"
"4212","CEP44"
"4213","HPGD"
"4214","GLRA3"
"4215","ADAM29"
"4216","GPM6A"
"4217","WDR17"
"4218","SPCS3"
"4219","NEIL3"
"4220","AGA"
"4221","AC078881.1"
"4222","DCTD"
"4223","CDKN2AIP"
"4224","AC107214.1"
"4225","ING2"
"4226","RWDD4"
"4227","TRAPPC11"
"4228","STOX2"
"4229","ENPP6"
"4230","LINC02363"
"4231","LINC02362"
"4232","IRF2"
"4233","AC099343.2"
"4234","AC099343.3"
"4235","AC099343.4"
"4236","LINC02427"
"4237","LINC02365"
"4238","CASP3"
"4239","PRIMPOL"
"4240","CENPU"
"4241","ACSL1"
"4242","MIR3945HG"
"4243","SLC25A4"
"4244","CFAP97"
"4245","SNX25"
"4246","LRP2BP"
"4247","ANKRD37"
"4248","UFSP2"
"4249","C4orf47"
"4250","CCDC110"
"4251","AC106897.1"
"4252","PDLIM3"
"4253","SORBS2"
"4254","AC093797.1"
"4255","TLR3"
"4256","FAM149A"
"4257","CYP4V2"
"4258","KLKB1"
"4259","AC138781.1"
"4260","FRG1.DT"
"4261","FRG1"
"4262","DBET"
"4263","CCDC127"
"4264","SDHA"
"4265","PDCD6"
"4266","EXOC3.AS1"
"4267","EXOC3"
"4268","SLC9A3.AS1"
"4269","CEP72"
"4270","ZDHHC11"
"4271","BRD9"
"4272","TRIP13"
"4273","SLC12A7"
"4274","TERT"
"4275","CLPTM1L"
"4276","AC026748.3"
"4277","LPCAT1"
"4278","MRPL36"
"4279","NDUFS6"
"4280","AC106799.3"
"4281","AC091978.1"
"4282","ICE1"
"4283","MED10"
"4284","UBE2QL1"
"4285","NSUN2"
"4286","SRD5A1"
"4287","TENT4A"
"4288","MTRR"
"4289","FASTKD3"
"4290","MIR4458HG"
"4291","SNHG18"
"4292","AC034229.1"
"4293","ATPSCKMT"
"4294","CCT5"
"4295","CMBL"
"4296","AC012640.2"
"4297","MARCH6"
"4298","LINC01513"
"4299","ANKRD33B"
"4300","DAP"
"4301","AC012629.2"
"4302","TRIO"
"4303","OTULINL"
"4304","AC010491.1"
"4305","OTULIN"
"4306","ANKH"
"4307","FBXL7"
"4308","ZNF622"
"4309","RETREG1"
"4310","MYO10"
"4311","BASP1"
"4312","BASP1.AS1"
"4313","LINC02241"
"4314","AC091938.1"
"4315","C5orf17"
"4316","LINC02211"
"4317","LINC02109"
"4318","DROSHA"
"4319","C5orf22"
"4320","PDZD2"
"4321","GOLPH3"
"4322","AC025181.2"
"4323","MTMR12"
"4324","ZFR"
"4325","SUB1"
"4326","AC034231.1"
"4327","TARS"
"4328","AMACR"
"4329","C1QTNF3"
"4330","AC138409.3"
"4331","AC026801.2"
"4332","RAD1"
"4333","BRIX1"
"4334","DNAJC21"
"4335","SPEF2"
"4336","IL7R"
"4337","UGT3A2"
"4338","LMBRD2"
"4339","SKP2"
"4340","NADK2"
"4341","AC008957.1"
"4342","NIPBL.DT"
"4343","NIPBL"
"4344","CPLANE1"
"4345","AC025449.2"
"4346","NUP155"
"4347","WDR70"
"4348","RICTOR"
"4349","FYB1"
"4350","TTC33"
"4351","PTGER4"
"4352","PRKAA1"
"4353","RPL37"
"4354","CARD6"
"4355","OXCT1"
"4356","C5orf51"
"4357","FBXO4"
"4358","CCDC152"
"4359","SELENOP"
"4360","AC008875.3"
"4361","AC008875.2"
"4362","AC008875.1"
"4363","AC025171.1"
"4364","AC025171.3"
"4365","AC025171.5"
"4366","ANXA2R"
"4367","AC025171.2"
"4368","AC025171.4"
"4369","ZNF131"
"4370","HMGCS1"
"4371","CCL28"
"4372","TMEM267"
"4373","AC114956.3"
"4374","C5orf34"
"4375","AC114956.1"
"4376","PAIP1"
"4377","NNT.AS1"
"4378","NNT"
"4379","MRPS30.DT"
"4380","MRPS30"
"4381","AC093297.2"
"4382","EMB"
"4383","PARP8"
"4384","AC022126.1"
"4385","PELO"
"4386","MOCS2"
"4387","AC008966.1"
"4388","NDUFS4"
"4389","ARL15"
"4390","AC025175.2"
"4391","SNX18"
"4392","GZMK"
"4393","DHX29"
"4394","MTREX"
"4395","PLPP1"
"4396","SLC38A9"
"4397","IL6ST"
"4398","AC008914.1"
"4399","AC008892.1"
"4400","AC016596.1"
"4401","LINC01948"
"4402","AC022431.1"
"4403","MAP3K1"
"4404","SETD9"
"4405","MIER3"
"4406","AC008937.3"
"4407","GPBP1"
"4408","PLK2"
"4409","GAPT"
"4410","PDE4D"
"4411","AC092343.1"
"4412","PART1"
"4413","DEPDC1B"
"4414","AC104113.1"
"4415","ERCC8"
"4416","NDUFAF2"
"4417","SMIM15"
"4418","ZSWIM6"
"4419","C5orf64"
"4420","KIF2A"
"4421","DIMT1"
"4422","IPO11"
"4423","SREK1IP1"
"4424","CWC27"
"4425","ADAMTS6"
"4426","CENPK"
"4427","PPWD1"
"4428","TRIM23"
"4429","SHLD3"
"4430","TRAPPC13"
"4431","SGTB"
"4432","NLN"
"4433","AC010359.2"
"4434","ERBIN"
"4435","AC010359.3"
"4436","AC025442.2"
"4437","SREK1"
"4438","MAST4"
"4439","MAST4.AS1"
"4440","CD180"
"4441","PIK3R1"
"4442","SLC30A5"
"4443","AC010273.2"
"4444","CCNB1"
"4445","CENPH"
"4446","MRPS36"
"4447","CDK7"
"4448","CCDC125"
"4449","AK6"
"4450","TAF9"
"4451","RAD17"
"4452","MARVELD2"
"4453","OCLN"
"4454","GTF2H2C"
"4455","SERF1B"
"4456","SMN2"
"4457","AC146944.4"
"4458","SERF1A"
"4459","SMN1"
"4460","NAIP"
"4461","GTF2H2"
"4462","BDP1"
"4463","MCCC2"
"4464","MAP1B"
"4465","MRPS27"
"4466","PTCD2"
"4467","TNPO1"
"4468","FCHO2"
"4469","FOXD1"
"4470","AC099522.2"
"4471","BTF3"
"4472","ANKRA2"
"4473","UTP15"
"4474","ARHGEF28"
"4475","ENC1"
"4476","HEXB"
"4477","GFM2"
"4478","NSA2"
"4479","FAM169A"
"4480","HMGCR"
"4481","CERT1"
"4482","POLK"
"4483","AC010245.1"
"4484","AC010245.2"
"4485","ANKDD1B"
"4486","POC5"
"4487","IQGAP2"
"4488","F2R"
"4489","S100Z"
"4490","CRHBP"
"4491","AGGF1"
"4492","ZBED3"
"4493","ZBED3.AS1"
"4494","PDE8B"
"4495","WDR41"
"4496","TBCA"
"4497","AP3B1"
"4498","SCAMP1.AS1"
"4499","SCAMP1"
"4500","LHFPL2"
"4501","ARSB"
"4502","DMGDH"
"4503","JMY"
"4504","HOMER1"
"4505","TENT2"
"4506","CMYA5"
"4507","MTX3"
"4508","SERINC5"
"4509","ZFYVE16"
"4510","AC008771.1"
"4511","FAM151B"
"4512","ANKRD34B"
"4513","DHFR"
"4514","MSH3"
"4515","RASGRF2"
"4516","CKMT2.AS1"
"4517","ZCCHC9"
"4518","AC010623.1"
"4519","SSBP2"
"4520","ATG10"
"4521","RPS23"
"4522","ATP6AP1L"
"4523","AC104118.1"
"4524","TMEM167A"
"4525","XRCC4"
"4526","COX7C"
"4527","LINC01949"
"4528","RASA1"
"4529","CCNH"
"4530","TMEM161B"
"4531","TMEM161B.AS1"
"4532","LINC00461"
"4533","MEF2C.AS2"
"4534","MEF2C"
"4535","MEF2C.AS1"
"4536","CETN3"
"4537","AC093510.1"
"4538","MBLAC2"
"4539","POLR3G"
"4540","LYSMD3"
"4541","ADGRV1"
"4542","ARRDC3"
"4543","ARRDC3.AS1"
"4544","FAM172A"
"4545","POU5F2"
"4546","AC114980.1"
"4547","KIAA0825"
"4548","SLF1"
"4549","MCTP1"
"4550","TTC37"
"4551","ARSK"
"4552","RFESD"
"4553","RHOBTB3"
"4554","GLRX"
"4555","LINC01554"
"4556","ELL2"
"4557","MIR583HG"
"4558","CAST"
"4559","ERAP1"
"4560","AC008906.1"
"4561","AC009126.1"
"4562","ERAP2"
"4563","LNPEP"
"4564","LIX1.AS1"
"4565","RIOK2"
"4566","AC008883.3"
"4567","LINC01340"
"4568","RGMB"
"4569","AC008522.1"
"4570","CHD1"
"4571","LINC02062"
"4572","AC021086.1"
"4573","FAM174A"
"4574","ST8SIA4"
"4575","PAM"
"4576","GIN1"
"4577","PPIP5K2"
"4578","C5orf30"
"4579","NUDT12"
"4580","FBXL17"
"4581","LINC01023"
"4582","FER"
"4583","AC008467.1"
"4584","PJA2"
"4585","MAN2A1"
"4586","TMEM232"
"4587","SLC25A46"
"4588","WDR36"
"4589","CAMK4"
"4590","STARD4"
"4591","STARD4.AS1"
"4592","NREP"
"4593","EPB41L4A"
"4594","EPB41L4A.AS1"
"4595","APC"
"4596","SRP19"
"4597","REEP5"
"4598","DCP2"
"4599","MCC"
"4600","YTHDC2"
"4601","TRIM36"
"4602","PGGT1B"
"4603","AC008494.3"
"4604","CCDC112"
"4605","FEM1C"
"4606","TICAM2"
"4607","AC010226.1"
"4608","TMED7"
"4609","AC008549.2"
"4610","ATG12"
"4611","AP3S1"
"4612","AC034236.2"
"4613","COMMD10"
"4614","SEMA6A"
"4615","SEMA6A.AS1"
"4616","DTWD2"
"4617","AC008629.1"
"4618","DMXL1"
"4619","TNFAIP8"
"4620","HSD17B4"
"4621","SRFBP1"
"4622","SNX2"
"4623","SNX24"
"4624","PPIC"
"4625","CEP120"
"4626","CSNK1G3"
"4627","ZNF608"
"4628","LINC02240"
"4629","GRAMD2B"
"4630","ALDH7A1"
"4631","PHAX"
"4632","LMNB1.DT"
"4633","LMNB1"
"4634","MARCH3"
"4635","C5orf63"
"4636","AC011416.3"
"4637","PRRC1"
"4638","LINC01184"
"4639","SLC12A2"
"4640","ISOC1"
"4641","MINAR2"
"4642","HINT1"
"4643","LYRM7"
"4644","CDC42SE2"
"4645","RAPGEF6"
"4646","FNIP1"
"4647","ACSL6"
"4648","P4HA2"
"4649","MIR3936HG"
"4650","SLC22A5"
"4651","C5orf56"
"4652","AC116366.2"
"4653","AC116366.1"
"4654","IRF1"
"4655","RAD50"
"4656","KIF3A"
"4657","CCNI2"
"4658","SEPTIN8"
"4659","SHROOM1"
"4660","UQCRQ"
"4661","LEAP2"
"4662","AFF4"
"4663","ZCCHC10"
"4664","AC113410.4"
"4665","HSPA4"
"4666","C5orf15"
"4667","VDAC1"
"4668","AC008608.2"
"4669","TCF7"
"4670","SKP1"
"4671","PPP2CA"
"4672","AC104109.2"
"4673","CDKL3"
"4674","UBE2B"
"4675","AC109454.2"
"4676","CDKN2AIPNL"
"4677","AC109454.3"
"4678","LINC01843"
"4679","JADE2"
"4680","SAR1B"
"4681","SEC24A"
"4682","CAMLG"
"4683","DDX46"
"4684","C5orf24"
"4685","TXNDC15"
"4686","PCBD2"
"4687","CATSPER3"
"4688","PITX1"
"4689","C5orf66"
"4690","H2AFY"
"4691","AC026691.1"
"4692","CXCL14"
"4693","SMAD5.AS1"
"4694","SMAD5"
"4695","KLHL3"
"4696","HNRNPA0"
"4697","AC106791.1"
"4698","PKD2L2"
"4699","FAM13B"
"4700","NME5"
"4701","BRD8"
"4702","KIF20A"
"4703","CDC23"
"4704","CDC25C"
"4705","FAM53C"
"4706","KDM3B"
"4707","REEP2"
"4708","EGR1"
"4709","ETF1"
"4710","HSPA9"
"4711","CTNNA1"
"4712","AC034243.1"
"4713","LRRTM2"
"4714","SIL1"
"4715","AC011405.1"
"4716","SNHG4"
"4717","MATR3.1"
"4718","PAIP2"
"4719","AC135457.1"
"4720","SLC23A1"
"4721","MZB1"
"4722","PROB1"
"4723","SPATA24"
"4724","DNAJC18"
"4725","SMIM33"
"4726","TMEM173"
"4727","UBE2D2"
"4728","CXXC5"
"4729","NRG2"
"4730","MALINC1"
"4731","PURA"
"4732","AC011379.2"
"4733","CYSTM1"
"4734","AC011379.1"
"4735","PFDN1"
"4736","HBEGF"
"4737","AC008438.1"
"4738","ANKHD1"
"4739","SRA1"
"4740","EIF4EBP3"
"4741","APBB3"
"4742","SLC35A4"
"4743","NDUFA2"
"4744","TMCO6"
"4745","IK"
"4746","WDR55"
"4747","DND1"
"4748","HARS"
"4749","HARS2"
"4750","ZMAT2"
"4751","PCDHB1"
"4752","PCDHB9"
"4753","TAF7"
"4754","AC005618.4"
"4755","AC005618.1"
"4756","PCDHGA1"
"4757","PCDHGB2"
"4758","PCDHGA5"
"4759","PCDHGA6"
"4760","PCDHGA8"
"4761","PCDHGB5"
"4762","PCDHGA9"
"4763","PCDHGB6"
"4764","PCDHGA10"
"4765","PCDHGB7"
"4766","PCDHGA12"
"4767","PCDHGC3"
"4768","DIAPH1"
"4769","HDAC3"
"4770","RELL2"
"4771","FCHSD1"
"4772","AC005740.5"
"4773","DELE1"
"4774","RNF14"
"4775","GNPDA1"
"4776","NDFIP1"
"4777","ARHGAP26"
"4778","NR3C1"
"4779","YIPF5"
"4780","PRELID2"
"4781","PLAC8L1"
"4782","LARS"
"4783","RBM27"
"4784","TCERG1"
"4785","JAKMIP2"
"4786","AC011346.1"
"4787","FBXO38"
"4788","AC114939.1"
"4789","HTR4"
"4790","ADRB2"
"4791","GRPEL2"
"4792","PCYOX1L"
"4793","CARMN"
"4794","CSNK1A1"
"4795","ARHGEF37"
"4796","PPARGC1B"
"4797","PDE6A"
"4798","SLC26A2"
"4799","TIGD6"
"4800","HMGXB3"
"4801","TCOF1"
"4802","CD74"
"4803","RPS14"
"4804","NDST1"
"4805","SYNPO"
"4806","MYOZ3"
"4807","RBM22"
"4808","DCTN4"
"4809","SMIM3"
"4810","ZNF300"
"4811","GPX3"
"4812","TNIP1"
"4813","ANXA6"
"4814","CCDC69"
"4815","GM2A"
"4816","SLC36A1"
"4817","SPARC"
"4818","AC011374.2"
"4819","ATOX1"
"4820","AC091982.3"
"4821","G3BP1"
"4822","FAM114A2"
"4823","MFAP3"
"4824","GALNT10"
"4825","SAP30L.AS1"
"4826","SAP30L"
"4827","LARP1"
"4828","FAXDC2"
"4829","CNOT8"
"4830","GEMIN5"
"4831","MRPL22"
"4832","AC010476.2"
"4833","SGCD"
"4834","PPP1R2B"
"4835","TIMD4"
"4836","HAVCR2"
"4837","MED7"
"4838","ITK"
"4839","CYFIP2"
"4840","AC016571.1"
"4841","AC008676.1"
"4842","ADAM19"
"4843","NIPAL4"
"4844","AC106801.1"
"4845","SOX30"
"4846","THG1L"
"4847","LSM11"
"4848","CLINT1"
"4849","AC025437.4"
"4850","LINC02227"
"4851","EBF1"
"4852","LINC02202"
"4853","RNF145"
"4854","UBLCP1"
"4855","TTC1"
"4856","PWWP2A"
"4857","ZBED8"
"4858","SLU7"
"4859","PTTG1"
"4860","MIR3142HG"
"4861","ATP10B"
"4862","CCNG1"
"4863","NUDCD2"
"4864","HMMR"
"4865","MAT2B"
"4866","AC109466.1"
"4867","WWC1"
"4868","RARS"
"4869","PANK3"
"4870","SPDL1"
"4871","DOCK2"
"4872","INSYN2B"
"4873","LCP2"
"4874","LINC01366"
"4875","KCNMB1"
"4876","RANBP17"
"4877","NPM1"
"4878","FGF18"
"4879","FBXW11"
"4880","STK10"
"4881","UBTD2"
"4882","AC022217.3"
"4883","DUSP1"
"4884","ERGIC1"
"4885","AC008429.1"
"4886","RPL26L1"
"4887","ATP6V0E1"
"4888","CREBRF"
"4889","AC008378.1"
"4890","BNIP1"
"4891","BOD1"
"4892","LINC01484"
"4893","LINC01485"
"4894","CPEB4"
"4895","SFXN1"
"4896","THOC3"
"4897","FAM153B"
"4898","SIMC1"
"4899","KIAA1191"
"4900","ARL10"
"4901","NOP16"
"4902","HIGD2A"
"4903","CLTB"
"4904","FAF2"
"4905","RNF44"
"4906","GPRIN1"
"4907","TSPAN17"
"4908","UIMC1"
"4909","ZNF346"
"4910","NSD1"
"4911","AC146507.3"
"4912","RAB24"
"4913","MXD3"
"4914","PRELID1"
"4915","LMAN2"
"4916","RGS14"
"4917","F12"
"4918","GRK6"
"4919","PRR7.AS1"
"4920","PRR7"
"4921","DBN1"
"4922","PDLIM7"
"4923","DOK3"
"4924","DDX41"
"4925","FAM193B"
"4926","AC139795.3"
"4927","TMED9"
"4928","B4GALT7"
"4929","AC139795.2"
"4930","AC106795.2"
"4931","FAM153CP"
"4932","N4BP3"
"4933","RMND5B"
"4934","NHP2"
"4935","HNRNPAB"
"4936","PHYKPL"
"4937","COL23A1"
"4938","CLK4"
"4939","ZNF354A"
"4940","ZNF354B"
"4941","ZNF454"
"4942","GRM6"
"4943","ZNF879"
"4944","ZNF354C"
"4945","RUFY1"
"4946","HNRNPH1"
"4947","AC136604.3"
"4948","CANX"
"4949","MAML1"
"4950","LTC4S"
"4951","MGAT4B"
"4952","SQSTM1"
"4953","MRNIP"
"4954","AC008393.1"
"4955","TBC1D9B"
"4956","RNF130"
"4957","MAPK9"
"4958","AC008610.1"
"4959","CNOT6"
"4960","MGAT1"
"4961","HEIH"
"4962","LINC00847"
"4963","ZFP62"
"4964","BTNL9"
"4965","AC008443.5"
"4966","TRIM41"
"4967","RACK1"
"4968","AC008443.1"
"4969","TRIM52"
"4970","TRIM52.AS1"
"4971","AC008443.8"
"4972","AL035696.4"
"4973","AL365272.1"
"4974","DUSP22"
"4975","IRF4"
"4976","EXOC2"
"4977","HUS1B"
"4978","AL357054.4"
"4979","FOXC1"
"4980","GMDS"
"4981","GMDS.DT"
"4982","MYLK4"
"4983","WRNIP1"
"4984","SERPINB1"
"4985","SERPINB9P1"
"4986","SERPINB9"
"4987","SERPINB6"
"4988","LINC01011"
"4989","NQO2"
"4990","AL133351.1"
"4991","RIPK1"
"4992","AL031963.3"
"4993","BPHL"
"4994","TUBB2A"
"4995","TUBB2B"
"4996","PSMG4"
"4997","PXDC1"
"4998","FAM50B"
"4999","PRPF4B"
"5000","ECI2"
"5001","LINC02533"
"5002","CDYL"
"5003","RPP40"
"5004","AL359643.3"
"5005","PPP1R3G"
"5006","LYRM4"
"5007","FARS2"
"5008","AL136307.1"
"5009","NRN1"
"5010","LY86.AS1"
"5011","AL162719.1"
"5012","LY86"
"5013","RREB1"
"5014","AL355336.1"
"5015","SSR1"
"5016","CAGE1"
"5017","RIOK1"
"5018","DSP"
"5019","SNRNP48"
"5020","BMP6"
"5021","TXNDC5"
"5022","BLOC1S5"
"5023","EEF1E1"
"5024","AL355499.1"
"5025","SLC35B3"
"5026","HULC"
"5027","GCNT2"
"5028","C6orf52"
"5029","PAK1IP1"
"5030","TMEM14C"
"5031","AL024498.1"
"5032","TMEM14B"
"5033","MAK"
"5034","SMIM13"
"5035","NEDD9"
"5036","AL022098.1"
"5037","TMEM170B"
"5038","ADTRP"
"5039","AL022724.3"
"5040","AL157373.2"
"5041","HIVEP1"
"5042","EDN1"
"5043","PHACTR1"
"5044","AL008729.1"
"5045","TBC1D7"
"5046","AL008729.2"
"5047","GFOD1"
"5048","SIRT5"
"5049","AL441883.1"
"5050","NOL7"
"5051","RANBP9"
"5052","MCUR1"
"5053","CD83"
"5054","AL136162.1"
"5055","JARID2"
"5056","JARID2.AS1"
"5057","DTNBP1"
"5058","MYLIP"
"5059","GMPR"
"5060","ATXN1"
"5061","AL137003.1"
"5062","AL137003.2"
"5063","AL138824.1"
"5064","FAM8A1"
"5065","NUP153"
"5066","AL138724.1"
"5067","KIF13A"
"5068","TPMT"
"5069","KDM1B"
"5070","DEK"
"5071","RNF144B"
"5072","MBOAT1"
"5073","E2F3"
"5074","E2F3.IT1"
"5075","CDKAL1"
"5076","SOX4"
"5077","CASC15"
"5078","MRS2"
"5079","GPLD1"
"5080","ALDH5A1"
"5081","TDP2"
"5082","ACOT13"
"5083","AL031775.1"
"5084","C6orf62"
"5085","GMNN"
"5086","RIPOR2"
"5087","CARMIL1"
"5088","TRIM38"
"5089","U91328.1"
"5090","HIST1H1A"
"5091","HIST1H3A"
"5092","HIST1H4A"
"5093","HIST1H4B"
"5094","HIST1H3B"
"5095","HIST1H2AB"
"5096","HIST1H2BB"
"5097","HIST1H3C"
"5098","HIST1H1C"
"5099","HFE"
"5100","HIST1H4C"
"5101","HIST1H2BC"
"5102","HIST1H2AC"
"5103","HIST1H1E"
"5104","HIST1H2BD"
"5105","AL353759.1"
"5106","HIST1H2BE"
"5107","HIST1H4D"
"5108","HIST1H3D"
"5109","HIST1H2AD"
"5110","HIST1H2BF"
"5111","HIST1H4E"
"5112","HIST1H2BG"
"5113","HIST1H2AE"
"5114","HIST1H3E"
"5115","HIST1H1D"
"5116","HIST1H4F"
"5117","HIST1H3F"
"5118","HIST1H2BH"
"5119","HIST1H3G"
"5120","HIST1H2BI"
"5121","HIST1H4H"
"5122","BTN3A2"
"5123","BTN2A2"
"5124","BTN3A1"
"5125","BTN3A3"
"5126","BTN2A1"
"5127","BTN1A1"
"5128","HCG11"
"5129","HMGN4"
"5130","AL121936.1"
"5131","ABT1"
"5132","ZNF322"
"5133","AL513548.4"
"5134","AL513548.1"
"5135","LINC00240"
"5136","AL021807.1"
"5137","HIST1H2BJ"
"5138","HIST1H2AG"
"5139","HIST1H4I"
"5140","HIST1H2BK"
"5141","HIST1H2AH"
"5142","PRSS16"
"5143","ZNF391"
"5144","ZNF184"
"5145","AL021918.5"
"5146","AL009179.1"
"5147","AL009179.2"
"5148","HIST1H2BL"
"5149","HIST1H2AI"
"5150","HIST1H3H"
"5151","HIST1H2AJ"
"5152","HIST1H2BM"
"5153","HIST1H4J"
"5154","HIST1H2BN"
"5155","HIST1H2AK"
"5156","HIST1H2AL"
"5157","HIST1H1B"
"5158","HIST1H3I"
"5159","HIST1H4L"
"5160","HIST1H3J"
"5161","HIST1H2AM"
"5162","HIST1H2BO"
"5163","ZSCAN16.AS1"
"5164","AL121944.1"
"5165","ZNF165"
"5166","ZSCAN16"
"5167","ZKSCAN8"
"5168","ZSCAN9"
"5169","ZKSCAN4"
"5170","NKAPL"
"5171","ZSCAN26"
"5172","PGBD1"
"5173","ZSCAN31"
"5174","ZKSCAN3"
"5175","ZSCAN12"
"5176","ZSCAN23"
"5177","ZBED9"
"5178","TRIM27"
"5179","GABBR1"
"5180","ZFP57"
"5181","HLA.F"
"5182","HLA.F.AS1"
"5183","HLA.G"
"5184","HLA.A"
"5185","HCG9"
"5186","ZNRD1"
"5187","PPP1R11"
"5188","TRIM26"
"5189","HCG17"
"5190","HCG18"
"5191","TRIM39"
"5192","RPP21"
"5193","HLA.E"
"5194","LINC02569"
"5195","GNL1"
"5196","PRR3"
"5197","ABCF1"
"5198","PPP1R10"
"5199","MRPS18B"
"5200","ATAT1"
"5201","C6orf136"
"5202","DHX16"
"5203","PPP1R18"
"5204","NRM"
"5205","MDC1"
"5206","TUBB"
"5207","FLOT1"
"5208","IER3.AS1"
"5209","IER3"
"5210","DDR1.DT"
"5211","DDR1"
"5212","GTF2H4"
"5213","VARS2"
"5214","SFTA2"
"5215","PSORS1C1"
"5216","CCHCR1"
"5217","TCF19"
"5218","POU5F1"
"5219","PSORS1C3"
"5220","AL662844.4"
"5221","HCG27"
"5222","HLA.C"
"5223","HLA.B"
"5224","AL645933.2"
"5225","MICA"
"5226","HCP5"
"5227","AL645933.3"
"5228","MICB"
"5229","DDX39B"
"5230","ATP6V1G2"
"5231","NFKBIL1"
"5232","LTA"
"5233","TNF"
"5234","LTB"
"5235","LST1"
"5236","NCR3"
"5237","AIF1"
"5238","PRRC2A"
"5239","BAG6"
"5240","APOM"
"5241","C6orf47"
"5242","GPANK1"
"5243","CSNK2B"
"5244","LY6G5B"
"5245","LY6G5C"
"5246","ABHD16A"
"5247","DDAH2"
"5248","CLIC1"
"5249","MSH5"
"5250","SAPCD1"
"5251","VWA7"
"5252","VARS"
"5253","LSM2"
"5254","HSPA1L"
"5255","HSPA1A"
"5256","HSPA1B"
"5257","SNHG32"
"5258","NEU1"
"5259","EHMT2"
"5260","C2"
"5261","ZBTB12"
"5262","CFB"
"5263","NELFE"
"5264","SKIV2L"
"5265","DXO"
"5266","STK19"
"5267","AL662884.5"
"5268","ATF6B"
"5269","FKBPL"
"5270","AL662884.3"
"5271","PPT2"
"5272","EGFL8"
"5273","AGPAT1"
"5274","RNF5"
"5275","AGER"
"5276","PBX2"
"5277","GPSM3"
"5278","NOTCH4"
"5279","TSBP1.AS1"
"5280","HLA.DRA"
"5281","HLA.DRB5"
"5282","HLA.DRB1"
"5283","HLA.DQA1"
"5284","HLA.DQB1"
"5285","HLA.DQA2"
"5286","HLA.DQB2"
"5287","HLA.DOB"
"5288","TAP2"
"5289","PSMB8"
"5290","PSMB8.AS1"
"5291","PSMB9"
"5292","TAP1"
"5293","HLA.DMB"
"5294","HLA.DMA"
"5295","BRD2"
"5296","HLA.DOA"
"5297","HLA.DPA1"
"5298","HLA.DPB1"
"5299","COL11A2"
"5300","RXRB"
"5301","SLC39A7"
"5302","HSD17B8"
"5303","RING1"
"5304","AL645940.1"
"5305","HCG25"
"5306","VPS52"
"5307","RPS18"
"5308","B3GALT4"
"5309","WDR46"
"5310","PFDN6"
"5311","RGL2"
"5312","TAPBP"
"5313","ZBTB22"
"5314","DAXX"
"5315","SMIM40"
"5316","KIFC1"
"5317","PHF1"
"5318","CUTA"
"5319","SYNGAP1"
"5320","SYNGAP1.AS1"
"5321","ZBTB9"
"5322","BAK1"
"5323","LINC00336"
"5324","ITPR3"
"5325","UQCC2"
"5326","LEMD2"
"5327","HMGA1"
"5328","SMIM29"
"5329","AL354740.1"
"5330","NUDT3"
"5331","RPS10"
"5332","PACSIN1"
"5333","ILRUN"
"5334","AL451165.2"
"5335","SNRPC"
"5336","UHRF1BP1"
"5337","TAF11"
"5338","ANKS1A"
"5339","ZNF76"
"5340","DEF6"
"5341","PPARD"
"5342","FANCE"
"5343","RPL10A"
"5344","TEAD3"
"5345","FKBP5"
"5346","LHFPL5"
"5347","SRPK1"
"5348","MAPK14"
"5349","MAPK13"
"5350","Z84485.1"
"5351","BRPF3"
"5352","ETV7"
"5353","Z84484.1"
"5354","PXT1"
"5355","KCTD20"
"5356","STK38"
"5357","SRSF3"
"5358","CDKN1A"
"5359","CPNE5"
"5360","PPIL1"
"5361","C6orf89"
"5362","MTCH1"
"5363","FGD2"
"5364","PIM1"
"5365","TMEM217"
"5366","TBC1D22B"
"5367","RNF8"
"5368","CMTR1"
"5369","CCDC167"
"5370","AL353597.1"
"5371","MDGA1"
"5372","ZFAND3"
"5373","BTBD9"
"5374","GLO1"
"5375","DNAH8"
"5376","SAYSD1"
"5377","KIF6"
"5378","DAAM2"
"5379","MOCS1"
"5380","UNC5CL"
"5381","OARD1"
"5382","NFYA"
"5383","TREML2"
"5384","FOXP4"
"5385","TFEB"
"5386","FRS3"
"5387","TOMM6"
"5388","USP49"
"5389","MED20"
"5390","BYSL"
"5391","CCND3"
"5392","TAF8"
