NAME	bd_highCXCR4_like	tn_lowCD74_like	bd_cycling_like	tn_cycling_like	bd_end_like	bd_lowCXCR4_like	bd_pb_like	tn_highCD74_like
ASNSD1	1	1	16.0027580671762	28.0570231599671	1	1	1	1
ASPM	1	1	178.570996075444	564.788495516313	1	1	1	1
ASRGL1	1	1	34.4652860805553	54.4986554637638	1	1	1	1
ASS1	1	1	28.6007287706949	1	1	35.7745973092414	1	1
ATAD2	1	1	107.933542473044	109.289096192257	1	1	31.9831504541598	1
ATAD2B	1	1	1	1	1	1	210.575050727204	234.48832947643
ATAD5	1	1	51.4518321973352	46.6931299940448	1	1	1	1
ATG4B	1	1	1	1	1	1	53.1810074004329	102.383728797977
ATG4D	1	1	14.0713285198661	1	1	1	25.7820479184649	1
ATG7	1	1	1	56.8557256214026	1	1	124.614209442927	187.724706407285
ATP11C	1	1	1	1	1	1	79.4738243438981	107.470993368104
ATP2B4	1	1	20.1420468070834	51.7548301589599	1	1	1	1
ATP8A1	1	1	1	61.9195415832436	1	1	757.440066910387	887.32097204057
ATP8B1	1	1	1	1	1	1	270.636642652399	267.406047011749
ATP9B	1	1	1	1	1	1	133.869295496277	200.185034421971
ATRN	1	1	1	1	1	1	85.6666554159109	98.3729286732524
AURKA	1	1	37.9261000628726	70.6380421169244	1	1	1	1
AURKB	1	1	43.0782054188409	59.9582441486494	1	1	1	1
AUTS2	1	1	1	168.528739353919	1	1	863.966866524862	1051.30921461763
AVL9	1	1	1	41.390127828437	1	1	135.704584069621	130.311914156347
BACH2	1	1	1	732.034498998923	1	1	8409.7713716729	10894.6352974654
BAG2	1	1	23.4693554414685	16.2298853958109	1	1	1	1
BANK1	1	1	1	1	1	1	168.174808391507	84.8663555806839
BCAP29	1	26.5077168674431	43.7344738024048	1	1	19.7179054264065	1	1
BCAS3	1	1	1	1	1	1	400.149900187181	447.102684941995
BCL2L12	1	1	39.5900756211391	68.9483113709229	1	1	1	1
BCL7A	1	1	1	149.362828356944	1	1	856.373868561732	889.770966308732
BCR	1	1	1	64.5840692958331	1	1	366.05827154344	472.283914086393
BEST3	1	1	1	1	1	1	196.625121600747	266.026887608985
BEX5	25.0741180757095	1	1	1	1	22.1955690554464	1	1
BICRAL	1	1	1	60.4206707507409	1	1	156.504366403852	171.215805240237
BIRC5	1	1	94.9614159234025	200.906085911862	1	1	1	1
BISPR	1	24.841823410595	1	42.0704238035799	1	1	1	1
BLK	1	1	1	1	1	1	193.885631832248	148.71712330399
BLMH	1	1	17.8413216468875	46.4335297288853	1	1	1	1
BLOC1S5	1	1	21.4603763395774	24.038884672142	1	1	1	1
BMP2K	1	1	1	27.99583190789	1	1	127.031728018465	166.601135138223
BMP3	1	1	1	1	1	1	299.307974005302	391.094672576533
BMT2	1	1	1	1	1	1	107.928316211359	162.518549670129
BOD1	1	1	15.5697714502007	1	1	17.7251423287487	1	1
BOP1	1	1	27.8042642633868	1	1	24.1486882175751	1	1
BORCS8	1	20.9556507122963	29.38311374721	1	1	20.0963898583476	1	1
BRI3BP	1	29.2131008215108	70.8226662082704	56.115969373073	1	1	1	1
BRIP1	1	1	29.8466768311754	85.9972766947595	1	1	1	1
BRWD3	1	1	1	1	1	1	92.4626977066407	129.080151706796
BTBD6	1	1	20.6824961975398	1	1	1	27.8758411107486	1
BTBD9	1	1	1	1	1	1	158.915256203637	243.104432733342
BTRC	1	1	1	1	1	1	92.6755692590986	148.933289989302
BUB1	1	1	59.8743634350504	116.016175553853	1	1	1	1
BUB1B	1	1	45.6102771573195	75.6984072267651	1	1	1	1
C11orf49	1	1	1	27.4933622065971	1	1	188.888669590398	307.747173434807
C12orf49	1	1	1	1	1	1	83.5958584047676	79.2514640125884
C12orf73	1	1	17.9309963892616	35.3858670063105	1	1	1	1
C16orf72	1	1	1	1	1	1	68.5256635049284	88.4009575991451
C16orf74	1	1	27.5264221669917	128.168138591666	1	1	416.711543700728	369.43349228196
C16orf95	1	1	20.0045371361025	37.1295995649946	1	1	1	1
C18orf25	1	1	1	1	1	1	81.824550086875	120.060883862119
C19orf38	1	1	17.2760880172309	16.4069458259802	1	1	1	1
C1orf56	1	1	35.272875288526	1	1	40.9883497464674	1	1
C20orf194	1	1	1	1	1	1	59.2361667554405	95.6161487339721
C20orf27	1	1	37.7765760231603	1	1	32.7764005916102	1	1
C21orf58	1	1	44.8298938105583	65.6880311183065	1	1	1	1
C22orf34	1	1	1	1	1	1	173.49806721245	312.27233200592
C2orf76	23.4667011265423	1	1	1	1	23.0557371700278	1	1
C6orf226	1	20.0632100518391	16.7077022096261	1	1	1	1	1
CARD11	1	1	1	64.5840692958331	1	1	460.717333181536	414.517829884795
CARD19	1	1	17.7329802823361	1	1	1	34.8511000778205	1
CARM1	1	1	1	40.3153323928754	1	19.2364217952409	1	30.5881023083111
CASC15	1	1	1	1	1	1	268.74694139589	523.599666807381
CASK	1	1	1	110.264163375045	1	1	579.387150603822	668.820528128487
CASTOR3	1	1	1	1	1	1	96.52196751793	156.021144928443
CAV2	1	20.5813938256356	18.025767782325	1	1	1	1	1
CBFA2T2	1	1	1	1	1	1	143.919520357288	117.028961428223
CBLB	1	1	1	1	1	1	417.744801426761	425.218305045861
CBX6	1	1	19.8394588740259	1	1	18.2580819062015	1	1
CCDC127	1	1	21.0913617701054	1	1	17.6046422523484	1	1
CCDC141	1	1	1	1	1	1	72.0935346992741	109.47023361651
CCDC146	1	1	1	1	1	1	71.4593171945181	110.31293966052
CCDC191	1	1	1	1	1	1	682.957542719296	706.000387307355
CCDC200	1	1	1	1	1	1	154.163866844423	128.848782420816
CCDC43	1	1	23.6894125207298	23.037546984742	1	1	1	1
CCDC58	1	1	21.4218993649279	16.9418216271536	1	1	1	1
CCNA2	1	1	43.5887191343465	62.7614541665656	1	1	1	1
CCNB1	1	1	90.0603547127788	228.174599633515	1	1	1	1
CCNB1IP1	1	20.2289292302436	33.6761770928152	1	1	30.9757104738366	1	1
CCNB2	1	1	74.7649963506336	133.739923051103	1	1	1	1
CCND1	337.324449338942	1	1	1	90.3335084309892	99.8948468831652	1	1
CCND3	43.0699220536295	1	49.9747108118148	1	1	48.7843420011512	568.770718877882	708.091808303227
CD200	28.4599367029532	1	1	1	1	24.2422018609914	1	1
CD22	1	1	1	1	1	1	105.018819829263	100.019234345628
CD24	1	1	1	170.557518122222	1	1	703.84194308084	620.843429546994
CD27	102.656014470866	1	1	1	104.940090651823	53.2695464354837	1	1
CD69	1	1	1	77.1494269790544	1	1	414.67775780265	482.262870377727
CD72	1	1	1	1	1	1	214.816002594959	162.728563660759
CD81	1	1	54.2471479024435	71.8615459992756	1	1	387.436762228779	405.505830254954
CDC14A	1	1	1	1	1	1	138.709813518727	79.9844408323089
CDC20	1	1	44.1021170953993	103.297658696419	1	1	1	1
CDC25B	1	1	1	1	1	1	209.674155096085	273.180389723298
CDC34	1	21.0364820566591	33.2870767342057	1	1	27.1018830752724	1	1
CDC42BPB	1	1	1	1	1	1	47.4684543362696	102.225281809021
CDC42EP3	1	1	23.6082931610768	1	1	18.1106175779683	1	1
